37_7072,37_7093,37_7103,37_7066,37_7105,37_7099,37_7096,37_7082,37_7078,37_7095,37_7106,37_7083
-0.571314362556447,-0.5717803523697877,-0.5712732249168618,-0.5724577535644337,-0.573513202160989,-0.5702330496014919,-0.5708703856500403,-0.5739404395646112,-0.5728722275622907,-0.5727758584098696,-0.5734860047755471,-0.5743881569746171
-0.5738955608123963,-0.5747103102699815,-0.573524272611169,-0.5736237293495319,-0.5765637871366055,-0.5731924952297963,-0.5734205614641749,-0.576638891738458,-0.5758580132973027,-0.5759317107866034,-0.5782911636847708,-0.5781907279715024
-0.5755695437491428,-0.5768270378655393,-0.5760624760078253,-0.5770436665839043,-0.5790739116097573,-0.5744072134723403,-0.5750399532896796,-0.5781210519657495,-0.5786544004505162,-0.5771538174629033,-0.5814419221484585,-0.5802206695311365
-0.5782669729006674,-0.5795199520153268,-0.5788137299371903,-0.5787769924571474,-0.5826643044605323,-0.5784386904998102,-0.5774945589494959,-0.5807658508570692,-0.5813848624562765,-0.5778667535348692,-0.5827577749997562,-0.5815233871397237
-0.581034785429685,-0.5825607386732512,-0.5810969956021913,-0.5824074257230144,-0.5842016951009462,-0.5816180497921541,-0.5792884710695738,-0.5836776460657552,-0.5842635778019499,-0.581218566099645,-0.5845995027940591,-0.5825937736812888
-0.5840354667198941,-0.584342566328836,-0.5854749075885144,-0.5840338028965176,-0.5890085688560251,-0.5838807952859019,-0.582477119230613,-0.587297272870547,-0.5873780836146155,-0.5822473043584284,-0.5865602598655224,-0.5859573030319094
-0.5852214308153921,-0.5860056702570908,-0.5892133319097841,-0.5878125858968628,-0.5860672680305007,-0.5858597083463046,-0.5857917500001711,-0.5908891946687258,-0.5902033164701439,-0.5865426854715533,-0.5885621071050017,-0.5884023927091524
-0.5887112368672551,-0.5893510201828923,-0.5916772216149133,-0.5893448983918179,-0.5894531669797004,-0.5891890625224183,-0.5892960816923737,-0.591894489566721,-0.5927640690189688,-0.5897683520310973,-0.5904580682149242,-0.591904860820742
-0.5925401052234118,-0.5924563593389475,-0.5939884394451205,-0.5949744811491439,-0.5936278836821349,-0.5919625992609382,-0.591954852126256,-0.5970165234216076,-0.596500532503961,-0.5922185390413077,-0.5938228816142935,-0.5947239000195649
-0.5968738812103846,-0.5961384562784474,-0.5956174079305274,-0.5947413308556281,-0.5975744470986393,-0.5949399375731135,-0.5940229315817102,-0.6013222009507447,-0.6008938386466768,-0.595680736011561,-0.597888666020005,-0.5996166917913661
-0.5989094101935035,-0.5981656412892464,-0.5983339786686376,-0.5989840442774487,-0.6020908938011611,-0.5983608065905142,-0.5957124889810826,-0.6043533728924331,-0.6077671963386408,-0.5978121506540219,-0.6007810271080283,-0.6018274084848367
-0.6035393310347826,-0.6043910499306285,-0.602948002588192,-0.6046026490479516,-0.6101624261207155,-0.603801921364517,-0.5994626206628306,-0.6107349532348143,-0.6100348804124265,-0.6020970804975934,-0.6048654141813062,-0.6077356808933754
-0.6068996409150386,-0.6092754971023063,-0.6082039303820966,-0.6060563750633639,-0.6154969744851793,-0.6063067149964474,-0.6047068976290555,-0.6141955965447049,-0.6139055800392883,-0.604745362147238,-0.6090071004455635,-0.6109217182479445
-0.6102226119990662,-0.6144254588184129,-0.613401161148149,-0.6106640932843539,-0.6178984870634485,-0.6142126038620735,-0.6084472611276954,-0.6165058994221689,-0.6198124946669432,-0.6088295659378569,-0.6125941899639247,-0.616872848543492
