06_1867,06_1786,06_1880,06_1892,06_1767,06_1792,06_1782,06_1875,06_1873,06_1849,06_1772,06_1766
21.204375465941446,21.20430375527744,21.20434277219511,21.20520261434933,21.204402422974653,21.20430878131818,21.20431456931669,21.204003917231862,21.20426313358945,21.204309478370245,21.20454207137671,21.204280090398903
21.237374121234428,21.237369993366556,21.237360488545473,21.237205120780438,21.23741726823155,21.237357225726274,21.237358057170614,21.237018666684428,21.237365590494772,21.237364082968895,21.237395434672543,21.237382303586916
21.214298701780134,21.21429322184601,21.214289922421468,21.214109998915287,21.214327025001435,21.214287552079472,21.2142884458539,21.214087056891064,21.21428541857761,21.214291760440027,21.214323507128885,21.214293762225616
21.194902537067374,21.194895813521594,21.194894703333283,21.194698508012248,21.194927514007343,21.194892722666502,21.19489371311773,21.194730157206795,21.194885497279373,21.194896368856217,21.19493132022673,21.194890631910113
21.194493269241153,21.194485824640882,21.194484915133717,21.19427495266686,21.194519677096896,21.194482448043352,21.194483494291227,21.19430926499165,21.19447514586261,21.19448624774829,21.194524524244642,21.194480908280102
21.215319558414038,21.215311378834194,21.215311808023735,21.21508605222059,21.215344147490676,21.215308916073297,21.21531003162873,21.215152618119667,21.215300067544614,21.21531227254598,21.21535293050987,21.21530519034667
21.22055469392675,21.220545505933767,21.220545729059285,21.220307526465675,21.220582629682,21.22054252126005,21.2205437633385,21.220362705175454,21.22053294518651,21.220546396733464,21.22059187811917,21.220538871619247
21.199193514251228,21.199183148586748,21.19918381939065,21.198931982190185,21.199222961701985,21.199180451366757,21.199181778719666,21.198992591007922,21.199169177117643,21.199184591215054,21.199234398554598,21.199174718965615
21.243036437005046,21.243025428811126,21.24302612341413,21.242760062518727,21.243067813745675,21.243021793597052,21.243023209935416,21.242815188780114,21.243011742006654,21.243026054263648,21.24307930554717,21.243019153212188
21.269942768078003,21.269930633836758,21.269931736269967,21.269652115406245,21.26997576026114,21.269927044488583,21.26992854251503,21.269710288888188,21.269915855261846,21.269931554078216,21.26998922286414,21.26992332159566
21.239804128913917,21.239790080529563,21.23979183983051,21.239500229656606,21.23983956944117,21.23978758949034,21.239789247582195,21.23956277830478,21.239771833934206,21.23979268382037,21.23985700328465,21.23977742400579
21.265501776865126,21.265485775701524,21.26548835890363,21.265163410964785,21.265540192895678,21.265483132656733,21.265485005182917,21.265238117662403,21.26546565562322,21.265488558890716,21.265560942986372,21.265472094331027
21.28644170510978,21.286425160601784,21.286427969497332,21.28608685916737,21.28648122912298,21.286421312692376,21.286423232317077,21.28615985625776,21.28640632568423,21.28642664483791,21.28650200156678,21.286415244708447
21.334491482233126,21.334473991970754,21.334477261476724,21.334118785949833,21.33453247238296,21.33446908653176,21.334471122001737,21.334189841755972,21.334455812743165,21.33447434442551,21.334554243878014,21.33446719599252
21.39343465138126,21.393415978247962,21.393419760649028,21.393045888484583,21.393477104923516,21.39341077129861,21.3934128930463,21.393118864025027,21.393397346266067,21.393416157613267,21.393500688493692,21.393409553165714
21.397676908957706,21.397655878692028,21.397660713817213,21.397271904769966,21.397721793526394,21.39765171213179,21.397654032290493,21.397350713364048,21.397633788360892,21.397657591516566,21.397750480688885,21.397644538129306
21.39153280576596,21.391509312123585,21.39151532651968,21.391111245893768,21.391579986064105,21.391506153402055,21.39150866326338,21.391196317981365,21.391483911414333,21.391512492305186,21.391614091713677,21.391493307882246
21.3858898708102,21.385864348490625,21.385871238169784,21.3854529456156,21.385939063307454,21.385862061513183,21.385864710257078,21.385544076719093,21.385836173483284,21.38586884141728,21.385977335414633,21.385844225273857
21.422083726105985,21.422055941037442,21.422064190644587,21.421627482555515,21.42213428420903,21.422053918367748,21.4220567276052,21.421725839547445,21.422026277360427,21.422060788976722,21.422177281368903,21.422034608669563
21.426287283400914,21.42625775540048,21.426266820615695,21.425814545908985,21.426339555937457,21.4262558905701,21.42625881869903,21.425916251514053,21.426226710225237,21.426262985405277,21.426385811151814,21.426235125005984
