36_1_6837,36_1_6823,36_1_6811,36_1_6820,36_1_6829,36_1_6806,36_1_6826,36_1_6836,36_1_6813,36_1_6816,36_1_6840,36_1_6828
-1.8667394791192748,-1.8725361701742926,-1.8724901291304974,-1.8725894432148138,-1.8731528264450148,-1.8725457545367874,-1.8724567127058478,-1.8679282548615816,-1.872586936736056,-1.8725881657270094,-1.9197846169833355,-1.872859698043392
-0.14086220985454645,-0.14083184756856326,-0.14083043599594447,-0.14082937336088008,-0.14084452495445987,-0.14084293963943395,-0.14083012027708008,-0.1407748383383023,-0.14083331337293004,-0.1408346416513595,-0.14175401728284243,-0.14083867119648374
0.1172777443187556,0.1163675064135461,0.11636357680298914,0.11636638225827056,0.11633400600853605,0.11636209268026221,0.1163696751726917,0.11673399522869943,0.11636210535520775,0.11636238224873807,0.11481724589035736,0.11634543704886369
-0.37992752910742666,-0.3799243096819893,-0.37992361344539205,-0.37992681428946184,-0.3799323285271683,-0.37992231872834736,-0.3799232822331078,-0.37986647135618057,-0.37992536072767535,-0.37992426989532646,-0.380735907549834,-0.3799280737727173
-0.8029052231345446,-0.8026165287072118,-0.8026066682005961,-0.8026242455423827,-0.8026810551879393,-0.8026168306206571,-0.8026083037854903,-0.8023434369341231,-0.8026205765598249,-0.8026195132432434,-0.804261431661466,-0.8026476599348698
-0.3201465890357369,-0.32013203995401085,-0.32013062570655393,-0.32013157399553904,-0.3201461415280704,-0.32013888704717886,-0.32013026361550345,-0.32005959318134103,-0.32013360698989857,-0.32013406962626334,-0.32109145911217496,-0.3201394552662862
-0.37808863718819197,-0.3778937251844994,-0.3778823010950916,-0.37789971530397537,-0.37797301767433567,-0.3779016439656857,-0.3778836827516585,-0.3775335735981855,-0.3778988844414499,-0.3778991917358354,-0.37970743304246213,-0.3779330949158677
-0.06475231690245664,-0.06475174177289489,-0.0647494856857378,-0.06474941894747843,-0.06476670983957433,-0.06476341910019556,-0.06474975787241988,-0.06467144589791474,-0.06475323054417004,-0.06475461977025532,-0.06563671696611095,-0.06475962830247539
-0.20555241852214579,-0.20533702209835525,-0.2053235359936778,-0.20534437345610002,-0.20543681895766497,-0.2053467662925712,-0.2053244815061106,-0.20488798369186156,-0.205343671740863,-0.2053441025556424,-0.20749508565199193,-0.20538706018044195
-0.20438626012126093,-0.20436521193666124,-0.20436303800611455,-0.20436571254826674,-0.20438235887262124,-0.20437074542474676,-0.20436306173071017,-0.20427555130897446,-0.20436682157097152,-0.20436704030736053,-0.2053375494882559,-0.20437398426800257
-0.12394526677276474,-0.12236150406398139,-0.12227738072471794,-0.12241346016612198,-0.12293011971127754,-0.12237506176646207,-0.12228333171080408,-0.1200153500751,-0.1223936889993027,-0.12239437259726316,-0.13301722985318065,-0.1226360562429818
-0.35208998048215534,-0.3520165532717101,-0.35201266288428457,-0.35202069858407015,-0.35204726645034157,-0.3520166179974993,-0.35201260299430714,-0.35187235683373785,-0.3520188196172569,-0.35201805537361963,-0.35329978931873285,-0.35203162804343435
-0.29570811356741444,-0.2956628844785669,-0.2956594269553037,-0.2956651621549966,-0.2956863278565436,-0.2956657785388117,-0.295659828896504,-0.2955453399070507,-0.29566465214113435,-0.29566444127791414,-0.2967561669006713,-0.29567436133074665
-0.15948697870964423,-0.1594887863040384,-0.15948643148458785,-0.15948850756153377,-0.15949483360639505,-0.15949437213961914,-0.1594885687167391,-0.1594359313068594,-0.15948949147787772,-0.15948947678829484,-0.1604635363294804,-0.1594913661746844
-0.577432830125808,-0.5773827798077136,-0.5773789431514942,-0.5773833925309546,-0.5774097656000166,-0.5773907439365544,-0.5773792842385106,-0.5772556150811781,-0.5773849586759638,-0.5773855105977432,-0.5785637866856064,-0.5773963171274588
0.8392864382521026,0.8392096785297909,0.8392107969440943,0.83921664829127,0.8392212498319296,0.8391919419797134,0.8392077295813039,0.8391945492366304,0.8392097611843141,0.8392077834824718,0.8385998174366804,0.8392155583469219
0.06160468461068547,0.06159680578672777,0.06159881048603211,0.0615941169528611,0.061592720271903545,0.06159956067779859,0.06159753686770131,0.061649825989036344,0.06159657369323668,0.061597556666548314,0.06096558265596741,0.06159557848935293
-1.3558562242998562,-1.3559096030136075,-1.3559103177458809,-1.3559166238179188,-1.355887957063544,-1.3558905905136953,-1.3559127290822914,-1.3559424360247618,-1.355907756407575,-1.3559039562007058,-1.3565294104356695,-1.3558968459000198
-1.1097715190893354,-1.109716911317733,-1.1097134067553682,-1.1097203474178485,-1.1097413860643712,-1.1097175651382685,-1.1097137328627937,-1.1095952293494449,-1.109718705141276,-1.1097180681886698,-1.1108934319234365,-1.109728808063828
-0.6329172942012917,-0.6330200103539951,-0.6330206704569008,-0.6330122291651463,-0.6329985133469052,-0.6330375808693844,-0.633023153357577,-0.63307320828212,-0.6330196471850869,-0.6330213601177803,-0.6337526556252726,-0.633009140505898
-0.46731176001696184,-0.4729363822677968,-0.47313819968994864,-0.4727770534104536,-0.47143253479717373,-0.47291340647408475,-0.47311697720189727,-0.4786083607034186,-0.47286078898036266,-0.47285485908478364,-0.4327122685102225,-0.472189554229665
0.5894737657308724,0.5893765477868129,0.5893765223181191,0.5893825557035015,0.5893949528226727,0.5893627047932881,0.5893734518612348,0.5893353721682715,0.5893768792071086,0.5893757991974269,0.5892918991236229,0.5893856044102463
-0.1539469719935127,-0.15406806167039377,-0.154070617878439,-0.15406661749985062,-0.15404373645356628,-0.1540675759767396,-0.15407066511215817,-0.15412781689455812,-0.15406728525753977,-0.15406642812553883,-0.1539509490455515,-0.15405550925855493
-0.39253375698923065,-0.3926183272140449,-0.3926195791967402,-0.39261713527391606,-0.3925912361339101,-0.39261829852055286,-0.3926221864794499,-0.3926826574012665,-0.3926169989913575,-0.39261599276375847,-0.3927059953252865,-0.39260405979621993
-0.23490881719165913,-0.23502869308249075,-0.2350307937245688,-0.235026319375784,-0.23500660832439735,-0.2350312164130841,-0.23503107325556272,-0.23508129560845248,-0.23502813291635505,-0.23502771121062693,-0.2349343130880044,-0.23501739824911994
0.21264124341048074,0.21258341484632126,0.21258491865900453,0.21258630340312834,0.21259703578152767,0.21257541412413872,0.21258106658500253,0.2125699513042889,0.21258388953757645,0.21258366783637683,0.2123027205722039,0.21259076486547457
-0.22080399179934318,-0.22092120703252505,-0.22092344836856626,-0.22091974082506738,-0.22089782650752454,-0.22092127181245758,-0.22092368191870548,-0.22097697259987115,-0.22092047350461996,-0.22091968641770876,-0.22082955684680883,-0.2209091104504779
-0.7919527375608482,-0.7920019453690941,-0.7920019332415507,-0.7920029947251095,-0.7919770222773437,-0.791997640699087,-0.7920052746989725,-0.7920477101326995,-0.7920002101799284,-0.7919987378858906,-0.7922868961283669,-0.7919880813122759
-0.3419770186241422,-0.3421115937092267,-0.3421150418815344,-0.34210800345963577,-0.3420816661823167,-0.34211536273691223,-0.3421148458896184,-0.34219491637806243,-0.34211077344373564,-0.34211041969378186,-0.3419531200120218,-0.34209642387686756
-0.06702706596740882,-0.06705504725335487,-0.06705228353929726,-0.06705015588654106,-0.06704419724151478,-0.06706960318336286,-0.06705684251176791,-0.06705242671316114,-0.06705490017555604,-0.0670559734630416,-0.06757444592604855,-0.06704883096730896
0.18234035358943856,0.18296105816627772,0.18298419066077543,0.18297682551704497,0.18314637837860914,0.18293863891216233,0.1829423643345507,0.1824920404818542,0.1829818138833872,0.18297413816799946,0.1796961114058604,0.1830693700729924
-0.21766914452012287,-0.21765806455409376,-0.21765443303660703,-0.2176576618871806,-0.21763707634328,-0.21766049995587622,-0.21766118961412673,-0.21768144557999136,-0.21765595618305156,-0.21765574477313976,-0.2183017299993395,-0.21764571075806316
-0.3199819766291512,-0.3200710941301921,-0.32007195142050193,-0.32006876951619745,-0.32004619822473046,-0.3200740626159515,-0.32007364048624254,-0.32012676745480917,-0.32007007048658664,-0.3200697812882325,-0.32013120698533015,-0.3200578403649246
-0.28623382101592654,-0.28621787315920244,-0.2862148827435007,-0.2862158038937679,-0.28618798383057253,-0.28622297286077014,-0.2862219565185242,-0.28627168456178964,-0.2862152454671474,-0.2862154105189063,-0.2869226641734812,-0.28620083288956266
-0.4053819843782591,-0.4054673746198745,-0.4054680153193857,-0.40546490125024093,-0.40544309202228845,-0.40547103569295473,-0.40546982469646053,-0.4055203332005419,-0.40546642224544627,-0.4054662026147682,-0.40555328935226953,-0.4054544026413609
0.13496528404900232,0.13500743843014362,0.13501151524199173,0.13501206649838338,0.13503760578004176,0.13499496415096957,0.1350033397769579,0.13495603988257443,0.13500993182205434,0.1350087922258325,0.1340930476063562,0.13502479196493056
-0.07259999533133055,-0.07267930707470782,-0.07268004129279859,-0.07267897854454475,-0.07265345326448625,-0.07267733680130561,-0.07268179247439832,-0.07273413567631337,-0.07267789282412451,-0.0726769981341846,-0.07277254310217529,-0.07266521933928516
-0.23388818955648816,-0.23380804019392798,-0.2338037912689117,-0.2338093169132094,-0.23376964476693018,-0.23380474466371481,-0.23381266709449733,-0.23387279094059465,-0.2338035755750667,-0.2338030559602089,-0.23489516022412005,-0.23378526298856173
