36_2_6594,36_2_6588,36_2_6721,36_2_6718,36_2_6762,36_2_6646,36_2_6615,36_2_6703,36_2_6749,36_2_6754,36_2_6593,36_2_6658,36_2_6751,36_2_6740,36_2_6664,36_2_6682,36_2_6679,36_2_6691,36_2_6700,36_2_6629,36_2_6755,36_2_6598,36_2_6764,36_2_6702,36_2_6709
-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399,-0.5611286884539399
-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324,-0.5645864293935324
-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236,-0.5644083773535236
-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252,-0.567600974637252
-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341,-0.5676714159226341
-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034,-0.5730022838603034
-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066,-0.5726179172214066
-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721,-0.5773932392979721
-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929,-0.5771757252359929
-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582,-0.5811871795408582
